0.030,	-0.041,	1.275,	Flat
-0.005,	-0.044,	1.163,	Flat
-0.063,	-0.047,	1.082,	Flat
-0.132,	-0.061,	1.005,	Flat
-0.231,	-0.092,	0.958,	Flat
-0.207,	0.011,	0.939,	Flat
-0.109,	0.042,	0.839,	Flat
-0.107,	0.046,	0.794,	Flat
-0.075,	0.084,	0.825,	Flat
-0.033,	0.098,	0.885,	Flat
0.103,	0.079,	0.916,	Flat
0.223,	-0.071,	0.984,	Flat
0.308,	-0.214,	1.033,	Flat
0.457,	-0.083,	1.215,	Flat
0.552,	-0.045,	1.319,	Flat
0.530,	-0.229,	1.639,	Flat
0.313,	-0.335,	1.999,	Flat
0.329,	-0.203,	1.999,	Flat
-0.021,	-0.002,	1.999,	Flat
-0.308,	-0.097,	1.706,	Flat
-0.820,	-0.163,	1.171,	Flat
-0.892,	0.071,	0.722,	Flat
-0.854,	0.182,	0.399,	Flat
-0.579,	-0.016,	-0.019,	Landscape Left
-0.517,	-0.234,	-0.158,	Landscape Left
-0.424,	-0.209,	-0.051,	Landscape Left
-0.604,	-0.154,	0.274,	Landscape Left
-1.034,	-0.330,	0.614,	Landscape Left
-1.006,	0.170,	1.999,	Landscape Left
-0.789,	-0.021,	1.999,	Landscape Left
-0.437,	-0.022,	1.999,	Landscape Left
0.702,	-0.106,	1.914,	Landscape Left
0.662,	-0.088,	1.316,	Landscape Left
0.694,	-0.028,	0.858,	Landscape Left
0.604,	-0.134,	0.552,	Landscape Left
0.506,	0.021,	0.386,	Landscape Right
0.333,	-0.261,	0.460,	Landscape Right
0.262,	-0.267,	0.752,	Landscape Right
0.330,	-0.024,	1.631,	Landscape Right
0.131,	0.088,	1.999,	Landscape Right
-0.252,	0.070,	1.999,	Landscape Right
-0.517,	-0.142,	1.716,	Landscape Right
-0.598,	-0.237,	0.756,	Landscape Right
-0.531,	-0.064,	0.230,	Landscape Right
-0.511,	0.112,	0.001,	Landscape Right
-0.451,	-0.163,	-0.185,	Landscape Right
-0.333,	-0.170,	-0.132,	Landscape Right
-0.576,	-0.321,	0.163,	Landscape Right
-0.663,	-0.146,	0.667,	Landscape Right
-0.754,	-0.161,	1.341,	Landscape Left
-0.867,	-0.354,	1.999,	Landscape Left
-0.057,	0.280,	1.999,	Landscape Left
0.312,	0.204,	1.999,	Landscape Left
0.611,	0.117,	1.515,	Landscape Left
0.608,	-0.118,	0.947,	Landscape Left
0.606,	-0.285,	0.189,	Landscape Left
0.690,	-0.075,	0.387,	Landscape Left
0.567,	-0.067,	0.659,	Landscape Right
0.480,	-0.187,	0.849,	Landscape Right
0.411,	-0.012,	1.396,	Landscape Right
0.216,	-0.027,	1.715,	Landscape Right
0.183,	0.128,	1.999,	Landscape Right
0.003,	-0.012,	1.869,	Landscape Right
-0.090,	0.022,	1.258,	Landscape Right
-0.161,	-0.063,	0.919,	Landscape Right
-0.248,	-0.012,	0.784,	Flat
-0.254,	0.053,	0.663,	Flat
-0.341,	-0.063,	0.495,	Flat
-0.362,	-0.190,	0.348,	Flat
-0.396,	-0.226,	0.351,	Flat
-0.392,	-0.119,	0.411,	Flat
-0.274,	0.042,	0.457,	Flat
-0.261,	0.057,	0.538,	Flat
-0.226,	0.104,	0.705,	Flat
-0.191,	0.176,	1.119,	Flat
-0.106,	0.204,	1.743,	Flat
0.064,	0.114,	1.999,	Flat
0.244,	-0.079,	1.999,	Flat
0.493,	-0.037,	1.914,	Flat
0.549,	-0.104,	1.588,	Flat
0.511,	-0.134,	1.241,	Flat
0.578,	-0.147,	0.794,	Flat
0.587,	-0.087,	0.556,	Flat
0.574,	-0.007,	0.488,	Landscape Right
0.555,	0.005,	0.625,	Landscape Right
0.518,	-0.123,	0.779,	Landscape Right
0.578,	0.136,	1.452,	Landscape Right
0.267,	-0.097,	1.999,	Landscape Right
0.205,	0.117,	1.999,	Landscape Right
-0.107,	-0.289,	1.545,	Landscape Right
-0.134,	-0.156,	1.120,	Landscape Right
-0.095,	-0.055,	0.935,	Landscape Right
-0.078,	0.112,	0.883,	Flat
0.038,	0.291,	0.682,	Flat
-0.243,	0.004,	0.454,	Flat
-0.293,	-0.063,	0.150,	Flat
-0.326,	0.027,	0.090,	Flat
-0.506,	-0.051,	0.204,	Flat
-0.461,	-0.052,	0.354,	Flat
-0.380,	-0.027,	0.608,	Flat
-0.333,	-0.103,	0.731,	Flat
-0.277,	-0.176,	1.115,	Flat
-0.114,	-0.220,	1.726,	Flat
0.088,	-0.025,	1.999,	Flat
0.229,	0.027,	1.999,	Flat
0.384,	-0.190,	1.961,	Flat
0.552,	-0.438,	1.319,	Flat
0.821,	-0.208,	1.313,	Flat
0.720,	-0.246,	1.017,	Flat
0.705,	-0.108,	0.784,	Flat
0.601,	-0.112,	0.774,	Flat
0.509,	-0.125,	0.735,	Landscape Right
0.460,	0.050,	1.069,	Landscape Right
0.227,	0.074,	1.654,	Landscape Right
-0.001,	-0.238,	1.550,	Landscape Right
-0.055,	-0.104,	1.801,	Landscape Right
-0.134,	-0.053,	1.403,	Landscape Right
-0.027,	-0.003,	0.837,	Landscape Right
-0.066,	-0.055,	0.722,	Flat
-0.104,	0.021,	0.630,	Flat
-0.409,	0.011,	0.465,	Flat
-0.374,	0.039,	0.242,	Flat
-0.464,	-0.016,	0.100,	Flat
-0.391,	-0.031,	0.123,	Flat
-0.354,	0.008,	0.396,	Flat
-0.323,	-0.011,	0.635,	Flat
-0.267,	-0.082,	0.938,	Flat
-0.208,	-0.071,	1.336,	Flat
-0.127,	-0.084,	1.771,	Flat
-0.018,	-0.127,	1.999,	Flat
0.123,	-0.192,	1.999,	Flat
0.275,	-0.400,	1.961,	Flat
0.568,	-0.427,	1.714,	Flat
0.828,	-0.313,	1.384,	Flat
0.771,	-0.245,	1.129,	Flat
0.696,	-0.066,	0.795,	Flat
0.596,	0.103,	0.762,	Flat
0.538,	0.043,	0.680,	Flat
0.411,	-0.188,	0.758,	Flat
0.355,	-0.134,	1.071,	Flat
0.324,	-0.015,	1.314,	Flat
